"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
"Total"	"2009"	"2009"	"December"	"12"					20346
"Total"	"2009"	"2009"							248110
	"2010"	"2010"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	2266
	"2010"	"2010"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	88
"Total"	"2010"	"2010"	"January"	"1"	"Sunday"	"1"			2357
	"2010"	"2010"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2549
	"2010"	"2010"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	110
"Total"	"2010"	"2010"	"January"	"1"	"Monday"	"2"			2662
	"2010"	"2010"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	2801
	"2010"	"2010"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	138
	"2010"	"2010"	"January"	"1"	"Tuesday"	"3"	"Triplet"	"3"	15
"Total"	"2010"	"2010"	"January"	"1"	"Tuesday"	"3"			2954
	"2010"	"2010"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	2771
	"2010"	"2010"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	87
"Total"	"2010"	"2010"	"January"	"1"	"Wednesday"	"4"			2861
	"2010"	"2010"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	2744
	"2010"	"2010"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	121
"Total"	"2010"	"2010"	"January"	"1"	"Thursday"	"5"			2868
	"2010"	"2010"	"January"	"1"	"Friday"	"6"	"Single"	"1"	3204
	"2010"	"2010"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	138
"Total"	"2010"	"2010"	"January"	"1"	"Friday"	"6"			3355
	"2010"	"2010"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2422
	"2010"	"2010"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	57
"Total"	"2010"	"2010"	"January"	"1"	"Saturday"	"7"			2485
"Total"	"2010"	"2010"	"January"	"1"					19542
	"2010"	"2010"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1847
	"2010"	"2010"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	59
"Total"	"2010"	"2010"	"February"	"2"	"Sunday"	"1"			1906
	"2010"	"2010"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2501
	"2010"	"2010"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	97
"Total"	"2010"	"2010"	"February"	"2"	"Monday"	"2"			2601
	"2010"	"2010"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2705
	"2010"	"2010"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	101
	"2010"	"2010"	"February"	"2"	"Tuesday"	"3"	"Triplet"	"3"	11
"Total"	"2010"	"2010"	"February"	"2"	"Tuesday"	"3"			2819
	"2010"	"2010"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2828
	"2010"	"2010"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	136
"Total"	"2010"	"2010"	"February"	"2"	"Wednesday"	"4"			2967
	"2010"	"2010"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2763
	"2010"	"2010"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	138
"Total"	"2010"	"2010"	"February"	"2"	"Thursday"	"5"			2910
	"2010"	"2010"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2721
	"2010"	"2010"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	104
"Total"	"2010"	"2010"	"February"	"2"	"Friday"	"6"			2835
	"2010"	"2010"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2086
	"2010"	"2010"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	79
"Total"	"2010"	"2010"	"February"	"2"	"Saturday"	"7"			2168
"Total"	"2010"	"2010"	"February"	"2"					18206
	"2010"	"2010"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	1824
	"2010"	"2010"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	46
"Total"	"2010"	"2010"	"March"	"3"	"Sunday"	"1"			1870
	"2010"	"2010"	"March"	"3"	"Monday"	"2"	"Single"	"1"	3256
	"2010"	"2010"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	130
"Total"	"2010"	"2010"	"March"	"3"	"Monday"	"2"			3395
	"2010"	"2010"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	3497
	"2010"	"2010"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	139
"Total"	"2010"	"2010"	"March"	"3"	"Tuesday"	"3"			3642
	"2010"	"2010"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	3476
	"2010"	"2010"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	134
"Total"	"2010"	"2010"	"March"	"3"	"Wednesday"	"4"			3618
	"2010"	"2010"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	2870
	"2010"	"2010"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	101
"Total"	"2010"	"2010"	"March"	"3"	"Thursday"	"5"			2980
	"2010"	"2010"	"March"	"3"	"Friday"	"6"	"Single"	"1"	2773
	"2010"	"2010"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	127
"Total"	"2010"	"2010"	"March"	"3"	"Friday"	"6"			2900
	"2010"	"2010"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	1984
	"2010"	"2010"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	73
"Total"	"2010"	"2010"	"March"	"3"	"Saturday"	"7"			2057
"Total"	"2010"	"2010"	"March"	"3"					20462
	"2010"	"2010"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	1796
	"2010"	"2010"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	66
"Total"	"2010"	"2010"	"April"	"4"	"Sunday"	"1"			1868
	"2010"	"2010"	"April"	"4"	"Monday"	"2"	"Single"	"1"	2629
	"2010"	"2010"	"April"	"4"	"Monday"	"2"	"Twin"	"2"	107
"Total"	"2010"	"2010"	"April"	"4"	"Monday"	"2"			2745
	"2010"	"2010"	"April"	"4"	"Tuesday"	"3"	"Single"	"1"	2973
	"2010"	"2010"	"April"	"4"	"Tuesday"	"3"	"Twin"	"2"	135
"Total"	"2010"	"2010"	"April"	"4"	"Tuesday"	"3"			3114
	"2010"	"2010"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	2798
	"2010"	"2010"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	118
"Total"	"2010"	"2010"	"April"	"4"	"Wednesday"	"4"			2922
	"2010"	"2010"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	3438
	"2010"	"2010"	"April"	"4"	"Thursday"	"5"	"Twin"	"2"	154
"Total"	"2010"	"2010"	"April"	"4"	"Thursday"	"5"			3595
	"2010"	"2010"	"April"	"4"	"Friday"	"6"	"Single"	"1"	3582
	"2010"	"2010"	"April"	"4"	"Friday"	"6"	"Twin"	"2"	146
"Total"	"2010"	"2010"	"April"	"4"	"Friday"	"6"			3735
	"2010"	"2010"	"April"	"4"	"Saturday"	"7"	"Single"	"1"	2089
	"2010"	"2010"	"April"	"4"	"Saturday"	"7"	"Twin"	"2"	62
"Total"	"2010"	"2010"	"April"	"4"	"Saturday"	"7"			2158
"Total"	"2010"	"2010"	"April"	"4"					20137
	"2010"	"2010"	"May"	"5"	"Sunday"	"1"	"Single"	"1"	2297
	"2010"	"2010"	"May"	"5"	"Sunday"	"1"	"Twin"	"2"	59
"Total"	"2010"	"2010"	"May"	"5"	"Sunday"	"1"			2361
	"2010"	"2010"	"May"	"5"	"Monday"	"2"	"Single"	"1"	3211
	"2010"	"2010"	"May"	"5"	"Monday"	"2"	"Twin"	"2"	117
"Total"	"2010"	"2010"	"May"	"5"	"Monday"	"2"			3333
	"2010"	"2010"	"May"	"5"	"Tuesday"	"3"	"Single"	"1"	3027
	"2010"	"2010"	"May"	"5"	"Tuesday"	"3"	"Twin"	"2"	129
	"2010"	"2010"	"May"	"5"	"Tuesday"	"3"	"Triplet"	"3"	10
"Total"	"2010"	"2010"	"May"	"5"	"Tuesday"	"3"			3169
	"2010"	"2010"	"May"	"5"	"Wednesday"	"4"	"Single"	"1"	2856
	"2010"	"2010"	"May"	"5"	"Wednesday"	"4"	"Twin"	"2"	103
"Total"	"2010"	"2010"	"May"	"5"	"Wednesday"	"4"			2962
	"2010"	"2010"	"May"	"5"	"Thursday"	"5"	"Single"	"1"	2791
	"2010"	"2010"	"May"	"5"	"Thursday"	"5"	"Twin"	"2"	137
"Total"	"2010"	"2010"	"May"	"5"	"Thursday"	"5"			2937
	"2010"	"2010"	"May"	"5"	"Friday"	"6"	"Single"	"1"	2811
	"2010"	"2010"	"May"	"5"	"Friday"	"6"	"Twin"	"2"	110
"Total"	"2010"	"2010"	"May"	"5"	"Friday"	"6"			2921
	"2010"	"2010"	"May"	"5"	"Saturday"	"7"	"Single"	"1"	2602
	"2010"	"2010"	"May"	"5"	"Saturday"	"7"	"Twin"	"2"	76
"Total"	"2010"	"2010"	"May"	"5"	"Saturday"	"7"			2678
"Total"	"2010"	"2010"	"May"	"5"					20361
	"2010"	"2010"	"June"	"6"	"Sunday"	"1"	"Single"	"1"	1938
	"2010"	"2010"	"June"	"6"	"Sunday"	"1"	"Twin"	"2"	47
"Total"	"2010"	"2010"	"June"	"6"	"Sunday"	"1"			1988
	"2010"	"2010"	"June"	"6"	"Monday"	"2"	"Single"	"1"	2735
	"2010"	"2010"	"June"	"6"	"Monday"	"2"	"Twin"	"2"	77
"Total"	"2010"	"2010"	"June"	"6"	"Monday"	"2"			2818
	"2010"	"2010"	"June"	"6"	"Tuesday"	"3"	"Single"	"1"	3576
	"2010"	"2010"	"June"	"6"	"Tuesday"	"3"	"Twin"	"2"	151
"Total"	"2010"	"2010"	"June"	"6"	"Tuesday"	"3"			3730
	"2010"	"2010"	"June"	"6"	"Wednesday"	"4"	"Single"	"1"	3874
	"2010"	"2010"	"June"	"6"	"Wednesday"	"4"	"Twin"	"2"	142
	"2010"	"2010"	"June"	"6"	"Wednesday"	"4"	"Triplet"	"3"	15
"Total"	"2010"	"2010"	"June"	"6"	"Wednesday"	"4"			4031
	"2010"	"2010"	"June"	"6"	"Thursday"	"5"	"Single"	"1"	2917
	"2010"	"2010"	"June"	"6"	"Thursday"	"5"	"Twin"	"2"	108
"Total"	"2010"	"2010"	"June"	"6"	"Thursday"	"5"			3028
	"2010"	"2010"	"June"	"6"	"Friday"	"6"	"Single"	"1"	2945
	"2010"	"2010"	"June"	"6"	"Friday"	"6"	"Twin"	"2"	111
"Total"	"2010"	"2010"	"June"	"6"	"Friday"	"6"			3062
	"2010"	"2010"	"June"	"6"	"Saturday"	"7"	"Single"	"1"	2157
	"2010"	"2010"	"June"	"6"	"Saturday"	"7"	"Twin"	"2"	71
"Total"	"2010"	"2010"	"June"	"6"	"Saturday"	"7"			2233
"Total"	"2010"	"2010"	"June"	"6"					20890
	"2010"	"2010"	"July"	"7"	"Sunday"	"1"	"Single"	"1"	1960
	"2010"	"2010"	"July"	"7"	"Sunday"	"1"	"Twin"	"2"	54
"Total"	"2010"	"2010"	"July"	"7"	"Sunday"	"1"			2020
	"2010"	"2010"	"July"	"7"	"Monday"	"2"	"Single"	"1"	2548
	"2010"	"2010"	"July"	"7"	"Monday"	"2"	"Twin"	"2"	104
"Total"	"2010"	"2010"	"July"	"7"	"Monday"	"2"			2655
	"2010"	"2010"	"July"	"7"	"Tuesday"	"3"	"Single"	"1"	3017
	"2010"	"2010"	"July"	"7"	"Tuesday"	"3"	"Twin"	"2"	129
"Total"	"2010"	"2010"	"July"	"7"	"Tuesday"	"3"			3152
	"2010"	"2010"	"July"	"7"	"Wednesday"	"4"	"Single"	"1"	3091
	"2010"	"2010"	"July"	"7"	"Wednesday"	"4"	"Twin"	"2"	130
"Total"	"2010"	"2010"	"July"	"7"	"Wednesday"	"4"			3221
	"2010"	"2010"	"July"	"7"	"Thursday"	"5"	"Single"	"1"	3763
	"2010"	"2010"	"July"	"7"	"Thursday"	"5"	"Twin"	"2"	119
"Total"	"2010"	"2010"	"July"	"7"	"Thursday"	"5"			3888
	"2010"	"2010"	"July"	"7"	"Friday"	"6"	"Single"	"1"	3771
	"2010"	"2010"	"July"	"7"	"Friday"	"6"	"Twin"	"2"	138
"Total"	"2010"	"2010"	"July"	"7"	"Friday"	"6"			3917
	"2010"	"2010"	"July"	"7"	"Saturday"	"7"	"Single"	"1"	2562
	"2010"	"2010"	"July"	"7"	"Saturday"	"7"	"Twin"	"2"	99
"Total"	"2010"	"2010"	"July"	"7"	"Saturday"	"7"			2664
"Total"	"2010"	"2010"	"July"	"7"					21517
	"2010"	"2010"	"August"	"8"	"Sunday"	"1"	"Single"	"1"	2332
	"2010"	"2010"	"August"	"8"	"Sunday"	"1"	"Twin"	"2"	73
"Total"	"2010"	"2010"	"August"	"8"	"Sunday"	"1"			2414
	"2010"	"2010"	"August"	"8"	"Monday"	"2"	"Single"	"1"	3361
	"2010"	"2010"	"August"	"8"	"Monday"	"2"	"Twin"	"2"	149
"Total"	"2010"	"2010"	"August"	"8"	"Monday"	"2"			3513
	"2010"	"2010"	"August"	"8"	"Tuesday"	"3"	"Single"	"1"	3705
	"2010"	"2010"	"August"	"8"	"Tuesday"	"3"	"Twin"	"2"	147
"Total"	"2010"	"2010"	"August"	"8"	"Tuesday"	"3"			3855
	"2010"	"2010"	"August"	"8"	"Wednesday"	"4"	"Single"	"1"	2995
	"2010"	"2010"	"August"	"8"	"Wednesday"	"4"	"Twin"	"2"	115
"Total"	"2010"	"2010"	"August"	"8"	"Wednesday"	"4"			3116
	"2010"	"2010"	"August"	"8"	"Thursday"	"5"	"Single"	"1"	2956
	"2010"	"2010"	"August"	"8"	"Thursday"	"5"	"Twin"	"2"	118
"Total"	"2010"	"2010"	"August"	"8"	"Thursday"	"5"			3077
	"2010"	"2010"	"August"	"8"	"Friday"	"6"	"Single"	"1"	2851
	"2010"	"2010"	"August"	"8"	"Friday"	"6"	"Twin"	"2"	127
"Total"	"2010"	"2010"	"August"	"8"	"Friday"	"6"			2984
	"2010"	"2010"	"August"	"8"	"Saturday"	"7"	"Single"	"1"	2131
	"2010"	"2010"	"August"	"8"	"Saturday"	"7"	"Twin"	"2"	57
"Total"	"2010"	"2010"	"August"	"8"	"Saturday"	"7"			2188
"Total"	"2010"	"2010"	"August"	"8"					21147
	"2010"	"2010"	"September"	"9"	"Sunday"	"1"	"Single"	"1"	2024
	"2010"	"2010"	"September"	"9"	"Sunday"	"1"	"Twin"	"2"	54
"Total"	"2010"	"2010"	"September"	"9"	"Sunday"	"1"			2081
	"2010"	"2010"	"September"	"9"	"Monday"	"2"	"Single"	"1"	2585
	"2010"	"2010"	"September"	"9"	"Monday"	"2"	"Twin"	"2"	116
"Total"	"2010"	"2010"	"September"	"9"	"Monday"	"2"			2701
	"2010"	"2010"	"September"	"9"	"Tuesday"	"3"	"Single"	"1"	2966
	"2010"	"2010"	"September"	"9"	"Tuesday"	"3"	"Twin"	"2"	124
	"2010"	"2010"	"September"	"9"	"Tuesday"	"3"	"Triplet"	"3"	15
"Total"	"2010"	"2010"	"September"	"9"	"Tuesday"	"3"			3105
	"2010"	"2010"	"September"	"9"	"Wednesday"	"4"	"Single"	"1"	3725
	"2010"	"2010"	"September"	"9"	"Wednesday"	"4"	"Twin"	"2"	157
"Total"	"2010"	"2010"	"September"	"9"	"Wednesday"	"4"			3882
	"2010"	"2010"	"September"	"9"	"Thursday"	"5"	"Single"	"1"	3658
	"2010"	"2010"	"September"	"9"	"Thursday"	"5"	"Twin"	"2"	113
	"2010"	"2010"	"September"	"9"	"Thursday"	"5"	"Triplet"	"3"	12
"Total"	"2010"	"2010"	"September"	"9"	"Thursday"	"5"			3783
	"2010"	"2010"	"September"	"9"	"Friday"	"6"	"Single"	"1"	2928
	"2010"	"2010"	"September"	"9"	"Friday"	"6"	"Twin"	"2"	140
	"2010"	"2010"	"September"	"9"	"Friday"	"6"	"Triplet"	"3"	14
"Total"	"2010"	"2010"	"September"	"9"	"Friday"	"6"			3082
	"2010"	"2010"	"September"	"9"	"Saturday"	"7"	"Single"	"1"	2144
	"2010"	"2010"	"September"	"9"	"Saturday"	"7"	"Twin"	"2"	77
"Total"	"2010"	"2010"	"September"	"9"	"Saturday"	"7"			2226
"Total"	"2010"	"2010"	"September"	"9"					20860
	"2010"	"2010"	"October"	"10"	"Sunday"	"1"	"Single"	"1"	2423
	"2010"	"2010"	"October"	"10"	"Sunday"	"1"	"Twin"	"2"	78
"Total"	"2010"	"2010"	"October"	"10"	"Sunday"	"1"			2507
	"2010"	"2010"	"October"	"10"	"Monday"	"2"	"Single"	"1"	2664
	"2010"	"2010"	"October"	"10"	"Monday"	"2"	"Twin"	"2"	110
"Total"	"2010"	"2010"	"October"	"10"	"Monday"	"2"			2779
	"2010"	"2010"	"October"	"10"	"Tuesday"	"3"	"Single"	"1"	2895
	"2010"	"2010"	"October"	"10"	"Tuesday"	"3"	"Twin"	"2"	132
"Total"	"2010"	"2010"	"October"	"10"	"Tuesday"	"3"			3027
	"2010"	"2010"	"October"	"10"	"Wednesday"	"4"	"Single"	"1"	2876
	"2010"	"2010"	"October"	"10"	"Wednesday"	"4"	"Twin"	"2"	132
"Total"	"2010"	"2010"	"October"	"10"	"Wednesday"	"4"			3011
	"2010"	"2010"	"October"	"10"	"Thursday"	"5"	"Single"	"1"	2866
	"2010"	"2010"	"October"	"10"	"Thursday"	"5"	"Twin"	"2"	130
"Total"	"2010"	"2010"	"October"	"10"	"Thursday"	"5"			2996
	"2010"	"2010"	"October"	"10"	"Friday"	"6"	"Single"	"1"	3624
	"2010"	"2010"	"October"	"10"	"Friday"	"6"	"Twin"	"2"	159
	"2010"	"2010"	"October"	"10"	"Friday"	"6"	"Triplet"	"3"	15
"Total"	"2010"	"2010"	"October"	"10"	"Friday"	"6"			3798
	"2010"	"2010"	"October"	"10"	"Saturday"	"7"	"Single"	"1"	2583
	"2010"	"2010"	"October"	"10"	"Saturday"	"7"	"Twin"	"2"	87
"Total"	"2010"	"2010"	"October"	"10"	"Saturday"	"7"			2673
"Total"	"2010"	"2010"	"October"	"10"					20791
	"2010"	"2010"	"November"	"11"	"Sunday"	"1"	"Single"	"1"	1805
	"2010"	"2010"	"November"	"11"	"Sunday"	"1"	"Twin"	"2"	66
"Total"	"2010"	"2010"	"November"	"11"	"Sunday"	"1"			1874
	"2010"	"2010"	"November"	"11"	"Monday"	"2"	"Single"	"1"	3423
	"2010"	"2010"	"November"	"11"	"Monday"	"2"	"Twin"	"2"	153
"Total"	"2010"	"2010"	"November"	"11"	"Monday"	"2"			3576
	"2010"	"2010"	"November"	"11"	"Tuesday"	"3"	"Single"	"1"	3672
	"2010"	"2010"	"November"	"11"	"Tuesday"	"3"	"Twin"	"2"	142
"Total"	"2010"	"2010"	"November"	"11"	"Tuesday"	"3"			3823
	"2010"	"2010"	"November"	"11"	"Wednesday"	"4"	"Single"	"1"	2781
	"2010"	"2010"	"November"	"11"	"Wednesday"	"4"	"Twin"	"2"	139
"Total"	"2010"	"2010"	"November"	"11"	"Wednesday"	"4"			2928
	"2010"	"2010"	"November"	"11"	"Thursday"	"5"	"Single"	"1"	2567
	"2010"	"2010"	"November"	"11"	"Thursday"	"5"	"Twin"	"2"	83
"Total"	"2010"	"2010"	"November"	"11"	"Thursday"	"5"			2658
	"2010"	"2010"	"November"	"11"	"Friday"	"6"	"Single"	"1"	2736
	"2010"	"2010"	"November"	"11"	"Friday"	"6"	"Twin"	"2"	145
"Total"	"2010"	"2010"	"November"	"11"	"Friday"	"6"			2881
	"2010"	"2010"	"November"	"11"	"Saturday"	"7"	"Single"	"1"	2105
	"2010"	"2010"	"November"	"11"	"Saturday"	"7"	"Twin"	"2"	58
"Total"	"2010"	"2010"	"November"	"11"	"Saturday"	"7"			2166
"Total"	"2010"	"2010"	"November"	"11"					19906
	"2010"	"2010"	"December"	"12"	"Sunday"	"1"	"Single"	"1"	1893
	"2010"	"2010"	"December"	"12"	"Sunday"	"1"	"Twin"	"2"	68
"Total"	"2010"	"2010"	"December"	"12"	"Sunday"	"1"			1961
	"2010"	"2010"	"December"	"12"	"Monday"	"2"	"Single"	"1"	2646
	"2010"	"2010"	"December"	"12"	"Monday"	"2"	"Twin"	"2"	99
"Total"	"2010"	"2010"	"December"	"12"	"Monday"	"2"			2751
	"2010"	"2010"	"December"	"12"	"Tuesday"	"3"	"Single"	"1"	2837
	"2010"	"2010"	"December"	"12"	"Tuesday"	"3"	"Twin"	"2"	105
"Total"	"2010"	"2010"	"December"	"12"	"Tuesday"	"3"			2951
	"2010"	"2010"	"December"	"12"	"Wednesday"	"4"	"Single"	"1"	3560
	"2010"	"2010"	"December"	"12"	"Wednesday"	"4"	"Twin"	"2"	169
"Total"	"2010"	"2010"	"December"	"12"	"Wednesday"	"4"			3738
	"2010"	"2010"	"December"	"12"	"Thursday"	"5"	"Single"	"1"	3566
	"2010"	"2010"	"December"	"12"	"Thursday"	"5"	"Twin"	"2"	148
"Total"	"2010"	"2010"	"December"	"12"	"Thursday"	"5"			3714
	"2010"	"2010"	"December"	"12"	"Friday"	"6"	"Single"	"1"	3241
	"2010"	"2010"	"December"	"12"	"Friday"	"6"	"Twin"	"2"	126
	"2010"	"2010"	"December"	"12"	"Friday"	"6"	"Triplet"	"3"	12
"Total"	"2010"	"2010"	"December"	"12"	"Friday"	"6"			3379
	"2010"	"2010"	"December"	"12"	"Saturday"	"7"	"Single"	"1"	1990
	"2010"	"2010"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	61
"Total"	"2010"	"2010"	"December"	"12"	"Saturday"	"7"			2062
"Total"	"2010"	"2010"	"December"	"12"					20556
"Total"	"2010"	"2010"							244375
	"2011"	"2011"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	2273
	"2011"	"2011"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	75
"Total"	"2011"	"2011"	"January"	"1"	"Sunday"	"1"			2356
	"2011"	"2011"	"January"	"1"	"Monday"	"2"	"Single"	"1"	3119
	"2011"	"2011"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	147
"Total"	"2011"	"2011"	"January"	"1"	"Monday"	"2"			3269
	"2011"	"2011"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	2846
	"2011"	"2011"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	103
	"2011"	"2011"	"January"	"1"	"Tuesday"	"3"	"Triplet"	"3"	11
"Total"	"2011"	"2011"	"January"	"1"	"Tuesday"	"3"			2960
	"2011"	"2011"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	2761
	"2011"	"2011"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	86
"Total"	"2011"	"2011"	"January"	"1"	"Wednesday"	"4"			2856
	"2011"	"2011"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	2761
	"2011"	"2011"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	132
	"2011"	"2011"	"January"	"1"	"Thursday"	"5"	"Triplet"	"3"	10
"Total"	"2011"	"2011"	"January"	"1"	"Thursday"	"5"			2903
	"2011"	"2011"	"January"	"1"	"Friday"	"6"	"Single"	"1"	2633
	"2011"	"2011"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	126
"Total"	"2011"	"2011"	"January"	"1"	"Friday"	"6"			2762
	"2011"	"2011"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2383
	"2011"	"2011"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	94
"Total"	"2011"	"2011"	"January"	"1"	"Saturday"	"7"			2477
"Total"	"2011"	"2011"	"January"	"1"					19583
	"2011"	"2011"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1817
	"2011"	"2011"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	65
"Total"	"2011"	"2011"	"February"	"2"	"Sunday"	"1"			1886
	"2011"	"2011"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2483
	"2011"	"2011"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	93
"Total"	"2011"	"2011"	"February"	"2"	"Monday"	"2"			2582
	"2011"	"2011"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2700
	"2011"	"2011"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	131
	"2011"	"2011"	"February"	"2"	"Tuesday"	"3"	"Triplet"	"3"	12
"Total"	"2011"	"2011"	"February"	"2"	"Tuesday"	"3"			2843
	"2011"	"2011"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2780
	"2011"	"2011"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	121
"Total"	"2011"	"2011"	"February"	"2"	"Wednesday"	"4"			2910
	"2011"	"2011"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2745
	"2011"	"2011"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	83
	"2011"	"2011"	"February"	"2"	"Thursday"	"5"	"Triplet"	"3"	12
"Total"	"2011"	"2011"	"February"	"2"	"Thursday"	"5"			2840
	"2011"	"2011"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2796
	"2011"	"2011"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	109
"Total"	"2011"	"2011"	"February"	"2"	"Friday"	"6"			2911
	"2011"	"2011"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2033
	"2011"	"2011"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	49
"Total"	"2011"	"2011"	"February"	"2"	"Saturday"	"7"			2085
"Total"	"2011"	"2011"	"February"	"2"					18057
	"2011"	"2011"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	1781
	"2011"	"2011"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	65
"Total"	"2011"	"2011"	"March"	"3"	"Sunday"	"1"			1849
	"2011"	"2011"	"March"	"3"	"Monday"	"2"	"Single"	"1"	2415
	"2011"	"2011"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	125
"Total"	"2011"	"2011"	"March"	"3"	"Monday"	"2"			2549
	"2011"	"2011"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	3423
	"2011"	"2011"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	165
"Total"	"2011"	"2011"	"March"	"3"	"Tuesday"	"3"			3594
	"2011"	"2011"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	3498
	"2011"	"2011"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	131
"Total"	"2011"	"2011"	"March"	"3"	"Wednesday"	"4"			3632
	"2011"	"2011"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	3458
	"2011"	"2011"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	143
"Total"	"2011"	"2011"	"March"	"3"	"Thursday"	"5"			3604
	"2011"	"2011"	"March"	"3"	"Friday"	"6"	"Single"	"1"	2661
	"2011"	"2011"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	110
"Total"	"2011"	"2011"	"March"	"3"	"Friday"	"6"			2777
	"2011"	"2011"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	1999
	"2011"	"2011"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	69
"Total"	"2011"	"2011"	"March"	"3"	"Saturday"	"7"			2068
"Total"	"2011"	"2011"	"March"	"3"					20073
	"2011"	"2011"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	1785
	"2011"	"2011"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	63
"Total"	"2011"	"2011"	"April"	"4"	"Sunday"	"1"			1851
	"2011"	"2011"	"April"	"4"	"Monday"	"2"	"Single"	"1"	2561
