"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"March"	"3"	"43 weeks"	"43"	301
	"2007"	"2007"	"March"	"3"	"44 weeks"	"44"	167
	"2007"	"2007"	"March"	"3"	"45 weeks"	"45"	67
	"2007"	"2007"	"March"	"3"	"46 weeks"	"46"	23
	"2007"	"2007"	"March"	"3"	"47 weeks"	"47"	17
	"2007"	"2007"	"March"	"3"	"Unknown or Not Stated"	"99"	21
"Total"	"2007"	"2007"	"March"	"3"			20565
	"2007"	"2007"	"April"	"4"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"April"	"4"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"April"	"4"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"April"	"4"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"April"	"4"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"April"	"4"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"April"	"4"	"23 weeks"	"23"	11
	"2007"	"2007"	"April"	"4"	"24 weeks"	"24"	16
	"2007"	"2007"	"April"	"4"	"25 weeks"	"25"	14
	"2007"	"2007"	"April"	"4"	"26 weeks"	"26"	27
	"2007"	"2007"	"April"	"4"	"27 weeks"	"27"	19
	"2007"	"2007"	"April"	"4"	"28 weeks"	"28"	43
	"2007"	"2007"	"April"	"4"	"29 weeks"	"29"	39
	"2007"	"2007"	"April"	"4"	"30 weeks"	"30"	69
	"2007"	"2007"	"April"	"4"	"31 weeks"	"31"	86
	"2007"	"2007"	"April"	"4"	"32 weeks"	"32"	99
	"2007"	"2007"	"April"	"4"	"33 weeks"	"33"	146
	"2007"	"2007"	"April"	"4"	"34 weeks"	"34"	264
	"2007"	"2007"	"April"	"4"	"35 weeks"	"35"	417
	"2007"	"2007"	"April"	"4"	"36 weeks"	"36"	681
	"2007"	"2007"	"April"	"4"	"37 weeks"	"37"	1455
	"2007"	"2007"	"April"	"4"	"38 weeks"	"38"	3220
	"2007"	"2007"	"April"	"4"	"39 weeks"	"39"	5028
	"2007"	"2007"	"April"	"4"	"40 weeks"	"40"	4200
	"2007"	"2007"	"April"	"4"	"41 weeks"	"41"	2018
	"2007"	"2007"	"April"	"4"	"42 weeks"	"42"	604
	"2007"	"2007"	"April"	"4"	"43 weeks"	"43"	292
	"2007"	"2007"	"April"	"4"	"44 weeks"	"44"	166
	"2007"	"2007"	"April"	"4"	"45 weeks"	"45"	93
	"2007"	"2007"	"April"	"4"	"46 weeks"	"46"	31
	"2007"	"2007"	"April"	"4"	"47 weeks"	"47"	17
	"2007"	"2007"	"April"	"4"	"Unknown or Not Stated"	"99"	19
"Total"	"2007"	"2007"	"April"	"4"			19102
	"2007"	"2007"	"May"	"5"	"17 weeks"	"17"	Suppressed
